Region,Country,State,City,Month,Day,Year,AvgTemperature
Africa,Ivory Coast,,Abidjan,1,1,1995,82.6
Africa,Ivory Coast,,Abidjan,1,2,1995,82.3
Africa,Ivory Coast,,Abidjan,1,3,1995,81
Africa,Ivory Coast,,Abidjan,1,4,1995,83.3
Africa,Ivory Coast,,Abidjan,1,5,1995,83.4
Africa,Ivory Coast,,Abidjan,1,6,1995,84.1
Africa,Ivory Coast,,Abidjan,1,7,1995,82.5
Africa,Ivory Coast,,Abidjan,1,8,1995,81.3
Africa,Ivory Coast,,Abidjan,1,9,1995,79.7
Africa,Ivory Coast,,Abidjan,1,10,1995,80.9
Africa,Ivory Coast,,Abidjan,1,11,1995,77.5
Africa,Ivory Coast,,Abidjan,1,12,1995,73.8
Africa,Ivory Coast,,Abidjan,1,13,1995,73
Africa,Ivory Coast,,Abidjan,1,14,1995,74.9
Africa,Ivory Coast,,Abidjan,1,15,1995,76.7
Africa,Ivory Coast,,Abidjan,1,16,1995,78.9
Africa,Ivory Coast,,Abidjan,1,17,1995,80.9
Africa,Ivory Coast,,Abidjan,1,18,1995,80.1
Africa,Ivory Coast,,Abidjan,1,19,1995,80.3
Africa,Ivory Coast,,Abidjan,1,20,1995,79
Africa,Ivory Coast,,Abidjan,1,21,1995,75.7
Africa,Ivory Coast,,Abidjan,1,22,1995,78.3
Africa,Ivory Coast,,Abidjan,1,23,1995,77
Africa,Ivory Coast,,Abidjan,1,24,1995,82.4
Africa,Ivory Coast,,Abidjan,1,25,1995,82.6
Africa,Ivory Coast,,Abidjan,1,26,1995,79.8
Africa,Ivory Coast,,Abidjan,1,27,1995,80.8
Africa,Ivory Coast,,Abidjan,1,28,1995,79.8
Africa,Ivory Coast,,Abidjan,1,29,1995,81.1
Africa,Ivory Coast,,Abidjan,1,30,1995,82.4
Africa,Ivory Coast,,Abidjan,1,31,1995,81.3
Africa,Ivory Coast,,Abidjan,2,1,1995,81.1
Africa,Ivory Coast,,Abidjan,2,2,1995,81.6
Africa,Ivory Coast,,Abidjan,2,3,1995,80.4
Africa,Ivory Coast,,Abidjan,2,4,1995,80.1
Africa,Ivory Coast,,Abidjan,2,5,1995,80.4
Africa,Ivory Coast,,Abidjan,2,6,1995,80.4
Africa,Ivory Coast,,Abidjan,2,7,1995,82.3
Africa,Ivory Coast,,Abidjan,2,8,1995,82.6
Africa,Ivory Coast,,Abidjan,2,9,1995,83
Africa,Ivory Coast,,Abidjan,2,10,1995,82.7
Africa,Ivory Coast,,Abidjan,2,11,1995,82.2
Africa,Ivory Coast,,Abidjan,2,12,1995,82.9
Africa,Ivory Coast,,Abidjan,2,13,1995,81
Africa,Ivory Coast,,Abidjan,2,14,1995,81.6
Africa,Ivory Coast,,Abidjan,2,15,1995,81.8
Africa,Ivory Coast,,Abidjan,2,16,1995,81.9
Africa,Ivory Coast,,Abidjan,2,17,1995,83.1
Africa,Ivory Coast,,Abidjan,2,18,1995,83.6
Africa,Ivory Coast,,Abidjan,2,19,1995,83.2
Africa,Ivory Coast,,Abidjan,2,20,1995,84.7
Africa,Ivory Coast,,Abidjan,2,21,1995,82.3
Africa,Ivory Coast,,Abidjan,2,22,1995,84.6
Africa,Ivory Coast,,Abidjan,2,23,1995,84.5
Africa,Ivory Coast,,Abidjan,2,24,1995,84.8
Africa,Ivory Coast,,Abidjan,2,25,1995,84.3
Africa,Ivory Coast,,Abidjan,2,26,1995,84
Africa,Ivory Coast,,Abidjan,2,27,1995,84.2
Africa,Ivory Coast,,Abidjan,2,28,1995,83.9
Africa,Ivory Coast,,Abidjan,3,1,1995,83.4
Africa,Ivory Coast,,Abidjan,3,2,1995,82.8
Africa,Ivory Coast,,Abidjan,3,3,1995,81.4
Africa,Ivory Coast,,Abidjan,3,4,1995,81.8
Africa,Ivory Coast,,Abidjan,3,5,1995,83.7
Africa,Ivory Coast,,Abidjan,3,6,1995,84.3
Africa,Ivory Coast,,Abidjan,3,7,1995,84
Africa,Ivory Coast,,Abidjan,3,8,1995,83.2
